# Matter power spectrum P(k) at redshift z=0
# for k=1.04892e-05 to 1.68265 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.009956488994e-02       2.382733753777e+04 
       2.023147907651e-02       2.379168397158e+04 
       2.036346260632e-02       2.375504283506e+04 
       2.049551678077e-02       2.371736512016e+04 
       2.062764293372e-02       2.367876037540e+04 
       2.075984243219e-02       2.363920819775e+04 
       2.089211667700e-02       2.359871840406e+04 
       2.102446710353e-02       2.355730227811e+04 
       2.115689518241e-02       2.351497247288e+04 
       2.128940242034e-02       2.347177511519e+04 
       2.142199036082e-02       2.342768399033e+04 
       2.155466058498e-02       2.338274092530e+04 
       2.168741471244e-02       2.333693604261e+04 
       2.182025440212e-02       2.329035702124e+04 
       2.195318135319e-02       2.324293313367e+04 
       2.208619730595e-02       2.319471671207e+04 
       2.221930404276e-02       2.314574512142e+04 
       2.235250338907e-02       2.309602672354e+04 
       2.248579721438e-02       2.304553214573e+04 
       2.261918743329e-02       2.299431616988e+04 
       2.275267600658e-02       2.294235152834e+04 
       2.288626494230e-02       2.288971789247e+04 
       2.301995629691e-02       2.283638913951e+04 
       2.315375217647e-02       2.278239049416e+04 
       2.328765473782e-02       2.272775635590e+04 
       2.342166618987e-02       2.267244910187e+04 
       2.355578879484e-02       2.261650192423e+04 
       2.369002486962e-02       2.255995774657e+04 
       2.382437678712e-02       2.250281439405e+04 
       2.395884697773e-02       2.244506651529e+04 
       2.409343793072e-02       2.238676442164e+04 
       2.422815219576e-02       2.232788360584e+04 
       2.436299238451e-02       2.226845985414e+04 
       2.449796117218e-02       2.220847629507e+04 
       2.463306129922e-02       2.214799402600e+04 
       2.476829557300e-02       2.208698215479e+04 
       2.490366686960e-02       2.202550558701e+04 
       2.503917813561e-02       2.196350477679e+04 
       2.517483239003e-02       2.190105235719e+04 
       2.531063272623e-02       2.183814393997e+04 
       2.544658231393e-02       2.177479393225e+04 
       2.558268440126e-02       2.171093685650e+04 
       2.571894231700e-02       2.164671046479e+04 
       2.585535947268e-02       2.158206000830e+04 
       2.599193936496e-02       2.151701494084e+04 
       2.612868557797e-02       2.145156244712e+04 
       2.626560178578e-02       2.138575620929e+04 
       2.640269175494e-02       2.131955018816e+04 
       2.653995934707e-02       2.125302669120e+04 
       2.667740852165e-02       2.118609825246e+04 
       2.681504333879e-02       2.111888989166e+04 
       2.695286796215e-02       2.105132298843e+04 
       2.709088666198e-02       2.098347502202e+04 
       2.722910381824e-02       2.091528103586e+04 
       2.736752392385e-02       2.084680907295e+04 
       2.750615158803e-02       2.077805135421e+04 
       2.764499153982e-02       2.070905018808e+04 
       2.778404863166e-02       2.063974116105e+04 
       2.792332784316e-02       2.057019693951e+04 
       2.806283428499e-02       2.050038344751e+04 
       2.820257320290e-02       2.043035217610e+04 
       2.834254998192e-02       2.036009573063e+04 
       2.848277015071e-02       2.028959564365e+04 
       2.862323938609e-02       2.021891063887e+04 
       2.876396351769e-02       2.014801930430e+04 
       2.890494853289e-02       2.007694090876e+04 
       2.904620058185e-02       2.000566815214e+04 
       2.918772598278e-02       1.993422117915e+04 
       2.932953122746e-02       1.986260768229e+04 
       2.947162298690e-02       1.979083216335e+04 
       2.961400811733e-02       1.971889715435e+04 
       2.975669366634e-02       1.964681673264e+04 
       2.989968687932e-02       1.957460696540e+04 
       3.004299520624e-02       1.950226341614e+04 
       3.018662630852e-02       1.942978537483e+04 
       3.033058806645e-02       1.935721050340e+04 
       3.047488858669e-02       1.928451668284e+04 
       3.061953621026e-02       1.921172249165e+04 
       3.076453952078e-02       1.913882450099e+04 
       3.090990735316e-02       1.906584866911e+04 
       3.105564880258e-02       1.899277862969e+04 
       3.120177323392e-02       1.891963401007e+04 
       3.134829029166e-02       1.884642612173e+04 
       3.149520991013e-02       1.877314023936e+04 
       3.164254232435e-02       1.869978822845e+04 
       3.179029808124e-02       1.862639654992e+04 
       3.193848805150e-02       1.855293053879e+04 
       3.208712344193e-02       1.847945644964e+04 
       3.223621580842e-02       1.840593055081e+04 
       3.238577706953e-02       1.833237188967e+04 
       3.253581952072e-02       1.825878741050e+04 
       3.268635584932e-02       1.818517246419e+04 
       3.283739915023e-02       1.811154045366e+04 
       3.298896294235e-02       1.803789203854e+04 
       3.314106118598e-02       1.796424513920e+04 
       3.329370830093e-02       1.789057922314e+04 
       3.344691918573e-02       1.781691788197e+04 
       3.360070923774e-02       1.774324268673e+04 
       3.375509437437e-02       1.766958668371e+04 
       3.391009105543e-02       1.759594668340e+04 
       3.406571630664e-02       1.752230246901e+04 
       3.422198774448e-02       1.744867730419e+04 
       3.437892360241e-02       1.737506022240e+04 
       3.453654275848e-02       1.730148635062e+04 
       3.469486476457e-02       1.722791869293e+04 
       3.485390987725e-02       1.715438038925e+04 
       3.501369909046e-02       1.708086754732e+04 
       3.517425417005e-02       1.700739473362e+04 
       3.533559769037e-02       1.693393815243e+04 
       3.549775307306e-02       1.686052690278e+04 
       3.566074462815e-02       1.678715400882e+04 
       3.582459759772e-02       1.671380871208e+04 
       3.598933820215e-02       1.664051144754e+04 
       3.615499368940e-02       1.656725233334e+04 
       3.632159238732e-02       1.649401726157e+04 
       3.648916375931e-02       1.642081972103e+04 
       3.665773846366e-02       1.634767216032e+04 
       3.682734841669e-02       1.627457871454e+04 
       3.699802686019e-02       1.620151865394e+04 
       3.716980843334e-02       1.612851290107e+04 
       3.734272924958e-02       1.605553509524e+04 
       3.751682697879e-02       1.598259125938e+04 
       3.769214093521e-02       1.590970080797e+04 
       3.786871217166e-02       1.583683324318e+04 
       3.804658358053e-02       1.576401723451e+04 
       3.822580000215e-02       1.569122968718e+04 
       3.840640834122e-02       1.561848573860e+04 
       3.858845769192e-02       1.554578668618e+04 
       3.877199947273e-02       1.547309504937e+04 
       3.895708757151e-02       1.540043896610e+04 
       3.914377850209e-02       1.532782324169e+04 
       3.933213157336e-02       1.525520631085e+04 
       3.952220907202e-02       1.518262103332e+04 
       3.971407646039e-02       1.511004459971e+04 
       3.990780259077e-02       1.503749393379e+04 
       4.010345993800e-02       1.496493322899e+04 
       4.030112485210e-02       1.489238767717e+04 
       4.050087783310e-02       1.481984813506e+04 
       4.070280383037e-02       1.474728921512e+04 
       4.090699256916e-02       1.467471406997e+04 
       4.111353890731e-02       1.460214080248e+04 
       4.132254322538e-02       1.452952399873e+04 
       4.153411185426e-02       1.445686533980e+04 
       4.174835754428e-02       1.438417481237e+04 
       4.196539998101e-02       1.431143054176e+04 
       4.218536635301e-02       1.423864418125e+04 
       4.240839197828e-02       1.416577973151e+04 
       4.263462099628e-02       1.409285238966e+04 
       4.286420713423e-02       1.401980423363e+04 
       4.309731455700e-02       1.394669436452e+04 
       4.333411881182e-02       1.387343365684e+04 
       4.357480788048e-02       1.380009973919e+04 
       4.381958335380e-02       1.372659364252e+04 
       4.406866174556e-02       1.365294785189e+04 
       4.432227596589e-02       1.357911440254e+04 
       4.458067697742e-02       1.350510746361e+04 
       4.484413566160e-02       1.343090949651e+04 
       4.511294492738e-02       1.335647057509e+04 
       4.538742210015e-02       1.328178930427e+04 
       4.566791163595e-02       1.320685183588e+04 
       4.595478821419e-02       1.313160633292e+04 
       4.624846027263e-02       1.305602793812e+04 
       4.654937406065e-02       1.298011400306e+04 
       4.685801830220e-02       1.290382942811e+04 
       4.717492957888e-02       1.282713603256e+04 
       4.750069856654e-02       1.274995009685e+04 
       4.783597728775e-02       1.267228044874e+04 
       4.818148757866e-02       1.259407846403e+04 
       4.853803101325e-02       1.251527756000e+04 
       4.890650058467e-02       1.243583204560e+04 
       4.928789451439e-02       1.235565395036e+04 
       4.968333264970e-02       1.227471803071e+04 
       5.009407602417e-02       1.219289797750e+04 
       5.052155030101e-02       1.211013390764e+04 
       5.096737400392e-02       1.202628295158e+04 
       5.143339267606e-02       1.194127977888e+04 
       5.192172040772e-02       1.185494751548e+04 
       5.243479055332e-02       1.176714120918e+04 
       5.297541793516e-02       1.167766491542e+04 
       5.354687541945e-02       1.158627524686e+04 
       5.415298845353e-02       1.149272581593e+04 
       5.479825194868e-02       1.139664903801e+04 
       5.548797469327e-02       1.129765105436e+04 
       5.622845706484e-02       1.119518499099e+04 
       5.702720768215e-02       1.108864997144e+04 
       5.789320277175e-02       1.097711204518e+04 
       5.883718640029e-02       1.085951499766e+04 
       5.987199658258e-02       1.073435793151e+04 
       6.101287511310e-02       1.059970615454e+04 
       6.227766786242e-02       1.045291945510e+04 
       6.368673585642e-02       1.029051876425e+04 
       6.526227383778e-02       1.010794119736e+04 
       6.702661151114e-02       9.899389182798e+03 
       6.899909233839e-02       9.658134509409e+03 
       7.119155738220e-02       9.377197681314e+03 
       7.360352423931e-02       9.051128895244e+03 
       7.621941039388e-02       8.678265002828e+03 
       7.901014361583e-02       8.262855366407e+03 
       8.193916335327e-02       7.815696076873e+03 
       8.496985400445e-02       7.352658911802e+03 
       8.807096711791e-02       6.891946767241e+03 
       9.121872655611e-02       6.450985048016e+03 
       9.439643248959e-02       6.044138395755e+03 
       9.759296860102e-02       5.681382704762e+03 
       1.008011890051e-01       5.367917904397e+03 
       1.040166006171e-01       5.104446499370e+03 
       1.040676959620e-01       5.100651640128e+03 
       1.072364169808e-01       4.887862659964e+03 
       1.104589245710e-01       4.712138495090e+03 
       1.136830750184e-01       4.569182234851e+03 
       1.169082288233e-01       4.449775441120e+03 
       1.201339965306e-01       4.344415135105e+03 
       1.233601411315e-01       4.244135376064e+03 
       1.265865183921e-01       4.141302227553e+03 
       1.298130404833e-01       4.030194665902e+03 
       1.330396538523e-01       3.907462273806e+03 
       1.362663257742e-01       3.772177291006e+03 
       1.394930361833e-01       3.625701013849e+03 
       1.427197727129e-01       3.471164834284e+03 
       1.459465276832e-01       3.312902317093e+03 
       1.491732962727e-01       3.155734928047e+03 
