# dimensionless total [l(l+1)/2pi] C_l's
# for l=2 to 3000, i.e. number of multipoles equal to 2999
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   55       2.052194577063e-10       2.156069401841e-14      -6.784396357149e-14       0.000000000000e+00       4.260660177367e-11       4.792252316336e-12      -8.998276227470e-15 
   56       2.080704509103e-10       2.279846703409e-14      -1.019788512929e-13       0.000000000000e+00       4.091722170905e-11       4.621615448553e-12      -9.338546404196e-15 
   57       2.109525815081e-10       2.407563290614e-14      -1.379594934052e-13       0.000000000000e+00       3.931823421559e-11       4.459903428404e-12      -9.724711505857e-15 
   58       2.138657142441e-10       2.539211024101e-14      -1.757823507344e-13       0.000000000000e+00       3.780599086898e-11       4.306888487928e-12      -1.012562199786e-14 
   59       2.168084159891e-10       2.674776519846e-14      -2.154401976749e-13       0.000000000000e+00       3.637397757896e-11       4.162069299520e-12      -1.050540249352e-14 
   60       2.197778657907e-10       2.814241034867e-14      -2.569220367791e-13       0.000000000000e+00       3.501264793496e-11       4.024654701295e-12      -1.082324548948e-14 
   61       2.227711413909e-10       2.957574660356e-14      -3.002145669993e-13       0.000000000000e+00       3.371207234617e-11       3.893786076344e-12      -1.104275220238e-14 
   62       2.257896197193e-10       3.104717636518e-14      -3.453071667512e-13       0.000000000000e+00       3.247095733976e-11       3.769299637525e-12      -1.116287176580e-14 
   63       2.288354090151e-10       3.255594621750e-14      -3.921878828799e-13       0.000000000000e+00       3.128936422317e-11       3.651107144726e-12      -1.119357225287e-14 
   64       2.319100141599e-10       3.410119726058e-14      -4.408419403065e-13       0.000000000000e+00       3.016599615341e-11       3.538963819469e-12      -1.114700112594e-14 
   65       2.350142904020e-10       3.568196216140e-14      -4.912517059141e-13       0.000000000000e+00       2.909812082568e-11       3.432459642577e-12      -1.103758189426e-14 
   66       2.381483970808e-10       3.729716220478e-14      -5.433966524323e-13       0.000000000000e+00       2.808149316208e-11       3.331010651845e-12      -1.088211077171e-14 
   67       2.413117513506e-10       3.894560434427e-14      -5.972533223237e-13       0.000000000000e+00       2.711027800020e-11       3.233850239715e-12      -1.069985333447e-14 
   68       2.445036246150e-10       4.062609473952e-14      -6.527970942552e-13       0.000000000000e+00       2.617860748617e-11       3.140227162207e-12      -1.050890983060e-14 
   69       2.477251756050e-10       4.233781267523e-14      -7.100079788811e-13       0.000000000000e+00       2.528579251264e-11       3.050065608339e-12      -1.031423982926e-14 
   70       2.509777480174e-10       4.408000745822e-14      -7.688659379561e-13       0.000000000000e+00       2.443203322169e-11       2.963423859428e-12      -1.011737354128e-14 
   71       2.542622349505e-10       4.585188866423e-14      -8.293491954664e-13       0.000000000000e+00       2.361684286610e-11       2.880296057381e-12      -9.919929674515e-15 
   72       2.575790490668e-10       4.765262616796e-14      -8.914342476169e-13       0.000000000000e+00       2.283901230630e-11       2.800608789098e-12      -9.723616660653e-15 
   73       2.609280927544e-10       4.948135017321e-14      -9.550958728183e-13       0.000000000000e+00       2.209657450734e-11       2.724217670874e-12      -9.530233882007e-15 
   74       2.643087282886e-10       5.133715124289e-14      -1.020307141675e-12       0.000000000000e+00       2.138676903580e-11       2.650903932804e-12      -9.341672898304e-15 
   75       2.677197479943e-10       5.321908032917e-14      -1.087039426973e-12       0.000000000000e+00       2.070600655677e-11       2.580371003190e-12      -9.159918673478e-15 
   76       2.711599669213e-10       5.512609269713e-14      -1.155261704065e-12       0.000000000000e+00       2.005075926613e-11       2.512322653207e-12      -8.986853538564e-15 
   77       2.746301916042e-10       5.705686782373e-14      -1.224938282668e-12       0.000000000000e+00       1.942049812730e-11       2.446721432706e-12      -8.823625097550e-15 
   78       2.781315577736e-10       5.900995655865e-14      -1.296030677674e-12       0.000000000000e+00       1.881522924039e-11       2.383571374928e-12      -8.671164749422e-15 
   79       2.816649228946e-10       6.098383321479e-14      -1.368498277565e-12       0.000000000000e+00       1.823459917497e-11       2.322838902130e-12      -8.530371953741e-15 
   80       2.852308490938e-10       6.297689444785e-14      -1.442298339848e-12       0.000000000000e+00       1.767787845406e-11       2.264451082441e-12      -8.402111412377e-15 
   81       2.888295860861e-10       6.498745813589e-14      -1.517385986498e-12       0.000000000000e+00       1.714394503811e-11       2.208293886733e-12      -8.287210251249e-15 
   82       2.924610541017e-10       6.701376225892e-14      -1.593714199386e-12       0.000000000000e+00       1.663126780906e-11       2.154210445475e-12      -8.186455202061e-15 
   83       2.961248268135e-10       6.905396377849e-14      -1.671233815722e-12       0.000000000000e+00       1.613789005429e-11       2.101999305605e-12      -8.100589784039e-15 
   84       2.998204143683e-10       7.110620669523e-14      -1.749894173342e-12       0.000000000000e+00       1.566190468671e-11       2.051464847844e-12      -8.029922340861e-15 
   85       3.035482037933e-10       7.316884163919e-14      -1.829645179485e-12       0.000000000000e+00       1.520300660095e-11       2.002581960256e-12      -7.973081665167e-15 
   86       3.073086439113e-10       7.524024079796e-14      -1.910435578202e-12       0.000000000000e+00       1.476116858022e-11       1.955355595050e-12      -7.928048956655e-15 
   87       3.111019472456e-10       7.731873201696e-14      -1.992212337264e-12       0.000000000000e+00       1.433616431150e-11       1.909770181634e-12      -7.892519404685e-15 
   88       3.149280779900e-10       7.940259884165e-14      -2.074920654515e-12       0.000000000000e+00       1.392756013400e-11       1.865788760125e-12      -7.863892829765e-15 
   89       3.187867399803e-10       8.149008055978e-14      -2.158503964237e-12       0.000000000000e+00       1.353470678768e-11       1.823352114856e-12      -7.839264325041e-15 
   90       3.226773646645e-10       8.357937224359e-14      -2.242903943504e-12       0.000000000000e+00       1.315673116167e-11       1.782377907889e-12      -7.815414897783e-15 
   91       3.265990990738e-10       8.566862479209e-14      -2.328060518541e-12       0.000000000000e+00       1.279252804281e-11       1.742759812522e-12      -7.788802110873e-15 
   92       3.305507937932e-10       8.775594497325e-14      -2.413911871084e-12       0.000000000000e+00       1.244075186406e-11       1.704366646800e-12      -7.755550724295e-15 
   93       3.345313526902e-10       8.983942353106e-14      -2.500395281681e-12       0.000000000000e+00       1.210013576770e-11       1.667074938707e-12      -7.712342153195e-15 
   94       3.385408683965e-10       9.191722425071e-14      -2.587449790882e-12       0.000000000000e+00       1.177052161017e-11       1.630874106411e-12      -7.659256194207e-15 
   95       3.425796361565e-10       9.398750842918e-14      -2.675013951906e-12       0.000000000000e+00       1.145197033455e-11       1.595775568690e-12      -7.597341380711e-15 
   96       3.466478003171e-10       9.604840842581e-14      -2.763025046976e-12       0.000000000000e+00       1.114444475083e-11       1.561780320644e-12      -7.527757187542e-15 
   97       3.507453472646e-10       9.809802808969e-14      -2.851419105158e-12       0.000000000000e+00       1.084780577730e-11       1.528878526116e-12      -7.451777010381e-15 
   98       3.548720983609e-10       1.001344431872e-13      -2.940130920214e-12       0.000000000000e+00       1.056180868209e-11       1.497049110116e-12      -7.370791145153e-15 
   99       3.590277028802e-10       1.021557018293e-13      -3.029094068445e-12       0.000000000000e+00       1.028609932458e-11       1.466259351237e-12      -7.286309767424e-15 
  100       3.632116309454e-10       1.041598248993e-13      -3.118240926541e-12       0.000000000000e+00       1.002021039692e-11       1.436464474082e-12      -7.199965911791e-15 
  101       3.674231664649e-10       1.061448064802e-13      -3.207502689423e-12       0.000000000000e+00       9.763557665470e-12       1.407607241677e-12      -7.113518451287e-15 
  102       3.716614000687e-10       1.081086142820e-13      -3.296809388098e-12       0.000000000000e+00       9.515436212272e-12       1.379617547900e-12      -7.028855076765e-15 
  103       3.759252220456e-10       1.100491900694e-13      -3.386089907499e-12       0.000000000000e+00       9.275016676539e-12       1.352412009897e-12      -6.947995276306e-15 
  104       3.802135567638e-10       1.119645010813e-13      -3.475272580448e-12       0.000000000000e+00       9.041533166974e-12       1.325913541354e-12      -6.872656050447e-15 
  105       3.845261172147e-10       1.138527012806e-13      -3.564287022477e-12       0.000000000000e+00       8.814884003645e-12       1.300113961449e-12      -6.802875827709e-15 
  106       3.888627397032e-10       1.157119927850e-13      -3.653062579288e-12       0.000000000000e+00       8.595105498396e-12       1.275019122987e-12      -6.738209349194e-15 
  107       3.932231471087e-10       1.175405777962e-13      -3.741527796666e-12       0.000000000000e+00       8.382185898367e-12       1.250629501055e-12      -6.678146529445e-15 
  108       3.976069444751e-10       1.193366595879e-13      -3.829610444647e-12       0.000000000000e+00       8.176063733747e-12       1.226940005009e-12      -6.622110630734e-15 
  109       4.020136146008e-10       1.210984434928e-13      -3.917237541705e-12       0.000000000000e+00       7.976626165508e-12       1.203939790471e-12      -6.569456437365e-15 
  110       4.064425136295e-10       1.228241378914e-13      -4.004335378925e-12       0.000000000000e+00       7.783707333159e-12       1.181612071316e-12      -6.519468429960e-15 
