# Matter power spectrum P(k) at redshift z=0
# for k=1.04892e-05 to 1.68265 h/Mpc,
# number of wavenumbers equal to 605
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       2.315375217647e-02       2.278243226649e+04 
       2.328765473782e-02       2.272779772562e+04 
       2.342166618987e-02       2.267249006130e+04 
       2.355578879484e-02       2.261654249121e+04 
       2.369002486962e-02       2.255999792298e+04 
       2.382437678712e-02       2.250285418544e+04 
       2.395884697773e-02       2.244510591632e+04 
       2.409343793072e-02       2.238680343933e+04 
       2.422815219576e-02       2.232792225525e+04 
       2.436299238451e-02       2.226849815745e+04 
       2.449796117218e-02       2.220851420831e+04 
       2.463306129922e-02       2.214803159031e+04 
       2.476829557300e-02       2.208701934959e+04 
       2.490366686960e-02       2.202554243312e+04 
       2.503917813561e-02       2.196354126774e+04 
       2.517483239003e-02       2.190108851201e+04 
       2.531063272623e-02       2.183817975888e+04 
       2.544658231393e-02       2.177482940183e+04 
       2.558268440126e-02       2.171097196756e+04 
       2.571894231700e-02       2.164674526832e+04 
       2.585535947268e-02       2.158209449245e+04 
       2.599193936496e-02       2.151704909889e+04 
       2.612868557797e-02       2.145159628903e+04 
       2.626560178578e-02       2.138578971600e+04 
       2.640269175494e-02       2.131958341415e+04 
       2.653995934707e-02       2.125305958788e+04 
       2.667740852165e-02       2.118613085697e+04 
       2.681504333879e-02       2.111892219426e+04 
       2.695286796215e-02       2.105135500170e+04 
       2.709088666198e-02       2.098350672663e+04 
       2.722910381824e-02       2.091531245104e+04 
       2.736752392385e-02       2.084684018812e+04 
       2.750615158803e-02       2.077808220016e+04 
       2.764499153982e-02       2.070908074106e+04 
       2.778404863166e-02       2.063977143806e+04 
       2.792332784316e-02       2.057022696113e+04 
       2.806283428499e-02       2.050041318062e+04 
       2.820257320290e-02       2.043038162932e+04 
       2.834254998192e-02       2.036012492650e+04 
       2.848277015071e-02       2.028962456464e+04 
       2.862323938609e-02       2.021893929903e+04 
       2.876396351769e-02       2.014804770080e+04 
       2.890494853289e-02       2.007696905064e+04 
       2.904620058185e-02       2.000569604206e+04 
       2.918772598278e-02       1.993424881279e+04 
       2.932953122746e-02       1.986263506549e+04 
       2.947162298690e-02       1.979085929791e+04 
       2.961400811733e-02       1.971892404435e+04 
       2.975669366634e-02       1.964684338969e+04 
       2.989968687932e-02       1.957463337345e+04 
       3.004299520624e-02       1.950228958709e+04 
       3.018662630852e-02       1.942981131217e+04 
       3.033058806645e-02       1.935723620828e+04 
